,ProQuest ID,Title,Source,Subject,Leaning,Hero,Villain,Victim,Focus,Conflict,Story,Narrative,Link
26,2927636811,Nickel isn’t worth a brass razoo without fossil fuel,The Weekend Australian,Strategic materials; Gasoline prices; Minerals; Fossil fuels; Political leadership; Renewable resources; Environmental tax; Energy; Mining; Coal; Wage & price controls,right center,NONE,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VICTIM,PREVENT_RESOLUTION,INDIVIDUALISTIC,CARBON_EXPANSION,https://www.proquest.com/newspapers/nickel-isn-t-worth-brass-razoo-without-fossil/docview/2927636811/se-2?accountid=12372
45,2931759943,"Teal MP Monique Ryan’s stance on Taylor Swifts jet use means its easier than ever to be green, writes Tim Blair",The Daily Telegraph,Voters; Emissions; Carbon; Climate change,right,NONE,DEBATE_AND_SCAM,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,"Author: Blair, Tim"
82,2932278041,Car makers in world of pain,Herald Sun,Automobiles; Emissions; Vehicles,right center,LEGISLATION_POLICIES_RESPONSES,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VILLAIN,FUEL_CONFLICT,INDIVIDUALISTIC,NO_STICKS,https://www.proquest.com/newspapers/car-makers-world-pain/docview/2932278041/se-2?accountid=12372
105,2932488910,A Swift reflection on emissions | Opinion,Glen Innes Examiner,Emissions,left center,GOVERNMENTS_POLITICIANS_POLIT.ORGS,INDUSTRY_EMISSIONS,ANIMALS_NATURE_ENVIRONMENT,HERO,FUEL_RESOLUTION,HIERARCHICAL,OFFICIALS_DECLARE_EMERGENCY,https://www.proquest.com/newspapers/swift-reflection-on-emissions-opinion/docview/2932488910/se-2?accountid=12372
121,2954871857,Littleproud calls for exemption on data,Daily Liberal and Macquarie Advocate,Financial disclosure; Emissions; Climate change,left center,NONE,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/littleproud-calls-exemption-on-data/docview/2954871857/se-2?accountid=12372
130,2954994495,The Advertiser EDITORIAL Carbon storage a sensible solution for energy future,The Advertiser,Carbon sequestration; Fossil fuels,right,INDUSTRY_EMISSIONS,ENV.ORGS_ACTIVISTS,GENERAL_PUBLIC,VILLAIN,FUEL_CONFLICT,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,https://www.proquest.com/newspapers/advertiser-editorial-carbon-storage-sensible/docview/2954994495/se-2?accountid=12372
142,2955849328,Who wants an electric ute,The Advertiser,Gasoline; Consumers; Emissions; Community support; Electric vehicles,right,LEGISLATION_POLICIES_RESPONSES,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,NO_STICKS,https://www.proquest.com/newspapers/who-wants-electric-ute/docview/2955849328/se-2?accountid=12372
154,2958094938,ALP in the express lane on the nation’s road to ruin,The Advertiser,Politics; Climate change; Cultural heritage; Trucks,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/alp-express-lane-on-nation-s-road-ruin/docview/2958094938/se-2?accountid=12372
170,2958096513,All aboard Labor’s wild quest for energy oblivion,The Daily Telegraph,Emissions; Politics; Climate change; Cultural heritage; Trucks,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/all-aboard-labor-s-wild-quest-energy-oblivion/docview/2958096513/se-2?accountid=12372
196,2958096718,Zoomers’ made sick by preachers of eco-anxiety,The Australian,Parents & parenting; Anxiety; Smartphones; Climate change,right center,NONE,ENV.ORGS_ACTIVISTS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/zoomers-made-sick-preachers-eco-anxiety/docview/2958096718/se-2?accountid=12372
221,2985767219,Car makers back Labor's tweaked fuel policy,The Australian Financial Review,Emissions; Automobile sales; Climate change; Efficiency; Vehicles; Automobile dealers,right center,LEGISLATION_POLICIES_RESPONSES,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,NO_STICKS,https://www.proquest.com/newspapers/car-makers-back-labors-tweaked-fuel-policy/docview/2985767219/se-2?accountid=12372
241,2986367104,Labor drops a gear on cap,Herald Sun,Press conferences; Automobiles; Automobile drivers; Emissions; Electric vehicles,right center,LEGISLATION_POLICIES_RESPONSES,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,NO_STICKS,https://www.proquest.com/newspapers/labor-drops-gear-on-cap/docview/2986367104/se-2?accountid=12372
262,3015024394,Vikki Campion: Lobbyists’ access to politicians beyond a joke,The Daily Telegraph,Lobbyists; Subsidies; Climate change,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,"Author: Campion, Vikki"
291,3030733049,"Building the data to help investors direct their money, and shape the world",The Canberra Times,Shareholder voting; Investments; International finance; Climate change; Investors; Renewable resources,left center,LEGISLATION_POLICIES_RESPONSES,INDUSTRY_EMISSIONS,NONE,HERO,FUEL_RESOLUTION,HIERARCHICAL,WIN_WIN,https://www.proquest.com/newspapers/building-data-help-investors-direct-their-money/docview/3030733049/se-2?accountid=12372
307,3031290058,Is climate change good for Tasmanian wine? Here's what research says,The Examiner,Climate change; Wineries & vineyards,right center,GENERAL_PUBLIC,CLIMATE_CHANGE,NONE,HERO,PREVENT_RESOLUTION,FATALIST,ADAPTATION,https://www.proquest.com/newspapers/is-climate-change-good-tasmanian-wine-heres-what/docview/3031290058/se-2?accountid=12372
327,3037401518,The price to be paid for energy efficiency:   Property Trends,Sydney Morning Herald,Energy efficiency; Houses; Interest rates; Cost control; Climate change; Product development,left center,NONE,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/price-be-paid-energy-efficiency/docview/3037401518/se-2?accountid=12372
335,3045508166,"In the race to Net Zero emissions, Tasmania leads the world",Advocate,Carbon sequestration; Energy industry; Emissions; Climate change; Renewable resources,left center,GOVERNMENTS_POLITICIANS_POLIT.ORGS,INDUSTRY_EMISSIONS,NONE,HERO,FUEL_RESOLUTION,HIERARCHICAL,WIN_WIN,https://www.proquest.com/newspapers/race-net-zero-emissions-tasmania-leads-world/docview/3045508166/se-2?accountid=12372
361,3049285985,Islanders sue Canberra for loss of way of life,Sydney Morning Herald,Islands; Climate change,left center,GENERAL_PUBLIC,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,HERO,FUEL_RESOLUTION,EGALITARIAN,YOURE_DESTROYING_OUR_FUTURE,https://www.proquest.com/newspapers/islanders-sue-canberra-loss-way-life/docview/3049285985/se-2?accountid=12372
375,3052809522,Tips to beat the heatwaves this summer in your local area,Bunbury Mail,Muscle pain; Exercise; Air conditioning; Outdoor activities; Community support; Heatstroke; Urine; Heat; Skin; Hydration; Summer; Climate change,left center,NONE,CLIMATE_CHANGE,GENERAL_PUBLIC,VICTIM,PREVENT_CONFLICT,EGALITARIAN,ALL_GOING_TO_DIE,https://www.proquest.com/newspapers/tips-beat-heatwaves-this-summer-your-local-area/docview/3052809522/se-2?accountid=12372
389,3055195524,We pay for a Forrest of greenie subsidies,The Daily Telegraph,Global warming; Green hydrogen; Solar energy; Clean technology; Climate change,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/we-pay-forrest-greenie-subsidies/docview/3055195524/se-2?accountid=12372
417,3056465390,Breaches infiltrate offsets scheme:   Exclusive | Environmental Audit,Sydney Morning Herald,Audits; Climate change,left center,LEGISLATION_POLICIES_RESPONSES,INDUSTRY_EMISSIONS,ANIMALS_NATURE_ENVIRONMENT,VILLAIN,PREVENT_CONFLICT,HIERARCHICAL,12_YEARS,https://www.proquest.com/newspapers/breaches-infiltrate-offsets-scheme/docview/3056465390/se-2?accountid=12372
437,3061638009,Renewables projects at risk of a climate trigger hold-up,The Australian,Reforms; Bureaucracy; Clean technology; Climate change; Decision making; Renewable resources,right center,NONE,LEGISLATION_POLICIES_RESPONSES,GREEN_TECHNOLOGY_INNOVATION,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,"Author: Chambers, Geoff; Lewis, Rosie"
453,3065747876,Coalition MPs in push to reopen climate debate,The Advertiser,Paris Agreement; Climate change,right,GOVERNMENTS_POLITICIANS_POLIT.ORGS,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,CARBON_EXPANSION,https://www.proquest.com/newspapers/coalition-mps-push-reopen-climate-debate/docview/3065747876/se-2?accountid=12372
463,3066120452,Zero faith in Paris deal,Herald Sun,Emissions control; Paris Agreement; Climate change,right center,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,OTHERS_ARE_WORSE,https://www.proquest.com/newspapers/zero-faith-paris-deal/docview/3066120452/se-2?accountid=12372
481,3068629035,Green energy slow blow,The Weekend Australian,Alternative energy; Energy industry; Emissions; Climate change,right center,NONE,LEGISLATION_POLICIES_RESPONSES,GREEN_TECHNOLOGY_INNOVATION,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/green-energy-slow-blow/docview/3068629035/se-2?accountid=12372
500,3068911505,Energy strategies at the forefront of pre-election battle,The Australian,Energy; Electricity; Climate policy; Emissions; Electricity distribution; Climate change; Renewable resources,right center,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/energy-strategies-at-forefront-pre-election/docview/3068911505/se-2?accountid=12372
517,3070078480,Labor scared of safe power,The Daily Telegraph,Nuclear energy; Nuclear power plants,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/labor-scared-safe-power/docview/3070078480/se-2?accountid=12372
530,3072013919,Albanese should call Dutton's bluff with an election right now,The Canberra Times,Energy; Electricity; Voters; Electricity distribution; Clean technology; Prime ministers; Climate change; Investors; Renewable resources,left center,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_CONFLICT,HIERARCHICAL,12_YEARS,"Author: Hull, Crispin"
555,3073353359,AN ILL WIND BLOWS IN LABOR’S HEARTLAND,The Daily Telegraph,Nuclear energy; Community; Offshore; Wind farms; Politics; Climate change; Nuclear power plants,right,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GREEN_TECHNOLOGY_INNOVATION,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/ill-wind-blows-labor-s-heartland/docview/3073353359/se-2?accountid=12372
592,3073676677,Talks to electrify Newcastle for a 'healthier future',Newcastle Herald,Energy transition; Alternative energy sources,left center,GENERAL_PUBLIC,CLIMATE_CHANGE,NONE,HERO,FUEL_RESOLUTION,EGALITARIAN,WIN_WIN,https://www.proquest.com/newspapers/talks-electrify-newcastle-healthier-future/docview/3073676677/se-2?accountid=12372
605,3073805149,Protests drag on at major coal port,The Advertiser,Coal,right,NONE,ENV.ORGS_ACTIVISTS,INDUSTRY_EMISSIONS,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/protests-drag-on-at-major-coal-port/docview/3073805149/se-2?accountid=12372
615,3076810786,Fission accomplished,Herald Sun,Legislation; Nuclear reactors; Nuclear power plants,right center,INDUSTRY_EMISSIONS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,HERO,FUEL_CONFLICT,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,https://www.proquest.com/newspapers/fission-accomplished/docview/3076810786/se-2?accountid=12372
629,3078361087,Senex Qld gasfields a critical part of future energy generation,The Courier,Community; Energy; Gas industry,right center,INDUSTRY_EMISSIONS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,HERO,FUEL_CONFLICT,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,"Author: Madigan, Michael"
668,3081773525,Labor’s renewables crusade makes an enemy of our strengths,The Australian,Prices; Energy; Electricity; Electricity distribution; Climate change,right center,NONE,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VICTIM,PREVENT_RESOLUTION,INDIVIDUALISTIC,CARBON_EXPANSION,Author: Ted O’Brien
696,3081918573,Energy Minister Bowen a lot of hot air about climate,The Advertiser,Climate change,right,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,HERO,FUEL_CONFLICT,INDIVIDUALISTIC,NO_NEED_TO_ACT,https://www.proquest.com/newspapers/energy-minister-bowen-lot-hot-air-about-climate/docview/3081918573/se-2?accountid=12372
706,3082679859,Sights on Lithgow,Lithgow Mercury,Nuclear energy; Nuclear power plants; Renewable resources,left center,GREEN_TECHNOLOGY_INNOVATION,INDUSTRY_EMISSIONS,GENERAL_PUBLIC,HERO,FUEL_RESOLUTION,EGALITARIAN,TECHNOLOGICAL_OPTIMISM,"Author: Berntsen, Reidun"
722,3084080512,Albo’s blunder-full law,The Daily Telegraph,Strategic materials; Environmental protection; Critical minerals,right,NONE,LEGISLATION_POLICIES_RESPONSES,GREEN_TECHNOLOGY_INNOVATION,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/albo-s-blunder-full-law/docview/3084080512/se-2?accountid=12372
738,3085275461,Exciting hydrogen project a positive sign all round,The Advertiser,Green hydrogen; Alternative energy; Steel production; Economics,right,INDUSTRY_EMISSIONS,GREEN_TECHNOLOGY_INNOVATION,GENERAL_PUBLIC,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,https://www.proquest.com/newspapers/exciting-hydrogen-project-positive-sign-all-round/docview/3085275461/se-2?accountid=12372
746,3085730736,Complex emissions targets heading for a train wreck,The Advertiser,Railway networks; Emissions control,right,NONE,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/complex-emissions-targets-heading-train-wreck/docview/3085730736/se-2?accountid=12372
764,3087738603,Renewables solution to closing gap,The Weekend Australian,Strategic materials; Native peoples; Economic development; Referendums; Global economy; Prime ministers; Renewable resources,right center,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,NONE,HERO,FUEL_RESOLUTION,EGALITARIAN,WIN_WIN,https://www.proquest.com/newspapers/renewables-solution-closing-gap/docview/3087738603/se-2?accountid=12372
786,3091429054,Sun going down on ALP energy catastrophe,The Daily Telegraph,Green hydrogen; Electricity; Voters; Electricity distribution; Electric vehicles,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/sun-going-down-on-alp-energy-catastrophe/docview/3091429054/se-2?accountid=12372
812,3097242538,REGIONS ARE CRUSHED BY ELECTRICITY PRICE SURGE,The Advertiser,Small business; Nuclear energy; Prices; Electricity; Costs,right,NONE,GREEN_TECHNOLOGY_INNOVATION,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/regions-are-crushed-electricity-price-surge/docview/3097242538/se-2?accountid=12372
845,3097799118,We must lighten our ecological footprint:   ENVIRONMENT,The Age,Wind; Wind farms; Climate change,left center,NONE,CLIMATE_CHANGE,GENERAL_PUBLIC,VILLAIN,PREVENT_CONFLICT,EGALITARIAN,ALL_GOING_TO_DIE,https://www.proquest.com/newspapers/we-must-lighten-our-ecological-footprint/docview/3097799118/se-2?accountid=12372
864,3099752639,Changes in climate play role in wild spring winds,The Age,Wind; Climate change,left center,NONE,CLIMATE_CHANGE,ANIMALS_NATURE_ENVIRONMENT,VICTIM,PREVENT_CONFLICT,EGALITARIAN,ALL_GOING_TO_DIE,https://www.proquest.com/newspapers/changes-climate-play-role-wild-spring-winds/docview/3099752639/se-2?accountid=12372
880,3100977211,We may ‘roo’ the day when net zero hits,The Courier,Climate change,right center,NONE,LEGISLATION_POLICIES_RESPONSES,GENERAL_PUBLIC,VICTIM,PREVENT_RESOLUTION,INDIVIDUALISTIC,CARBON_EXPANSION,https://www.proquest.com/newspapers/we-may-roo-day-when-net-zero-hits/docview/3100977211/se-2?accountid=12372
888,3102935430,Why I don't buy electric vehicles' revolutionary status,Newcastle Herald,Artificial intelligence; Automobile sales; Carbon; Electric vehicles; Pollution; Renewable resources,left center,NONE,GREEN_TECHNOLOGY_INNOVATION,GREEN_TECHNOLOGY_INNOVATION,VICTIM,FUEL_RESOLUTION,EGALITARIAN,GREEN_SOLUTIONS_WONT_WORK,"Author: Maguire, Paul"
908,3102986768,Greens would put us all last so vote likewise,The Daily Telegraph,Taxes; Tax rates; Imperialism; Colonialism; Climate change; Tax increases,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/greens-would-put-us-all-last-so-vote-likewise/docview/3102986768/se-2?accountid=12372
936,3103135385,Methane cuts on track for 2030 emissions goal,The Australian,Livestock; Emissions; Climate change; Cattle,right center,SCIENCE_EXPERTS_SCI.REPORTS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,HERO,FUEL_CONFLICT,INDIVIDUALISTIC,NO_NEED_TO_ACT,"Author: Peel, Charlie"
950,3106824466,The big con on carbon offsets,The Daily Telegraph,Carbon offsets,right,NONE,LEGISLATION_POLICIES_RESPONSES,ANIMALS_NATURE_ENVIRONMENT,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/big-con-on-carbon-offsets/docview/3106824466/se-2?accountid=12372
964,3108784477,"Earthquakes and nuclear reactors don't mix, Coalition concedes",The Northern Daily Leader,Nuclear energy; Earthquakes; Nuclear reactors; Coal-fired power plants; Nuclear power plants,left center,GREEN_TECHNOLOGY_INNOVATION,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_CONFLICT,HIERARCHICAL,12_YEARS,"Author: Kelly, Matthew"
989,3108832702,US nuke moves ‘isolate’ Australia,The Advertiser,Nuclear energy,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/us-nuke-moves-isolate-australia/docview/3108832702/se-2?accountid=12372
996,3112804028,Grassroots Plan to Help Save The Earth:   Johnny Kahlbetzer | Investor,The Australian Financial Review,Agriculture; Farmers; Holidays & special occasions; Family owned businesses; International finance; Ammonia; Personal profiles; Carbon; Climate change; Farms; Earth,right center,GENERAL_PUBLIC,CLIMATE_CHANGE,GENERAL_PUBLIC,HERO,FUEL_RESOLUTION,INDIVIDUALISTIC,EVERY_LITTLE_HELPS,https://www.proquest.com/newspapers/grassroots-plan-help-save-earth/docview/3112804028/se-2?accountid=12372
1027,3116028619,Climate’s right for SA bid to host COP crowd,The Advertiser,Leadership; State government; Emissions; Climate change; Renewable resources,right,GOVERNMENTS_POLITICIANS_POLIT.ORGS,CLIMATE_CHANGE,NONE,HERO,FUEL_RESOLUTION,HIERARCHICAL,OFFICIALS_DECLARE_EMERGENCY,https://www.proquest.com/newspapers/climate-s-right-sa-bid-host-cop-crowd/docview/3116028619/se-2?accountid=12372
1046,3117084915,Illawarra wins 'electrify' pilot scheme,Illawarra Mercury,Energy; Electricity; Cost control; Fossil fuels; Clean technology; Subsidies; Climate change; Households,left center,GENERAL_PUBLIC,CLIMATE_CHANGE,NONE,HERO,FUEL_RESOLUTION,EGALITARIAN,WIN_WIN,"Author: Langford, Ben"
1075,3119207847,"He was absolutely delighted': King Charles III gets a boost from warm, Canberra crowds",The Canberra Times,Native peoples; Demonstrations & protests; Prime ministers; Climate change; Royalty,left center,GOVERNMENTS_POLITICIANS_POLIT.ORGS,CLIMATE_CHANGE,NONE,HERO,FUEL_RESOLUTION,HIERARCHICAL,OFFICIALS_DECLARE_EMERGENCY,https://www.proquest.com/newspapers/he-was-absolutely-delighted-king-charles-iii-gets/docview/3119207847/se-2?accountid=12372
1126,3119265478,NUCLEAR DELAYING TACTIC,The Courier,Nuclear energy; Climate change; Energy policy,right center,INDUSTRY_EMISSIONS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/nuclear-delaying-tactic/docview/3119265478/se-2?accountid=12372
1137,3119266381,Canadian climate warrior says ‘go nuclear’,The Daily Telegraph,Nuclear energy,right,INDUSTRY_EMISSIONS,LEGISLATION_POLICIES_RESPONSES,NONE,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,https://www.proquest.com/newspapers/canadian-climate-warrior-says-go-nuclear/docview/3119266381/se-2?accountid=12372
1143,3120659317,Royal tourists served up a confected cocktail of green dream,The Daily Telegraph,Governor General-Canada; Queens; Prime ministers; Climate change,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/royal-tourists-served-up-confected-cocktail-green/docview/3120659317/se-2?accountid=12372
